,yellow fever,zika disease congenital,zika disease non-congenital,zika infection congenital,zika infection non-congenital
United States,1,30,"5,132",45,911
New England,—,3,327,2,71
Connecticut,—,—,118,—,—
Maine,—,—,12,—,—
Massachusetts,—,2,119,1,52
New Hampshire,—,1,11,—,1
Rhode Island,—,—,56,1,18
Vermont,—,—,11,—,—
Middle Atlantic,1,12,"1,358",33,344
New Jersey,—,6,180,17,35
New York (excluding New York City),1,1,244,—,45
New York City,—,5,759,15,234
Pennsylvania,—,—,175,1,30
East North Central,—,1,364,2,24
Illinois,—,1,105,2,6
Indiana,—,—,49,—,—
Michigan,—,—,67,—,3
Ohio,—,—,83,—,12
Wisconsin,—,—,60,—,3
West North Central,—,2,168,1,13
Iowa,—,—,26,—,2
Kansas,—,—,20,—,—
Minnesota,—,1,66,—,4
Missouri,—,1,37,—,—
Nebraska,—,—,13,—,3
North Dakota,—,—,3,—,—
South Dakota,—,—,3,1,4
South Atlantic,—,7,"1,644",4,277
Delaware,—,—,17,—,—
District of Columbia,—,—,41,—,22
Florida,—,4,"1,066",1,188
Georgia,—,1,107,—,5
Maryland,—,1,130,2,35
North Carolina,—,—,102,—,1
South Carolina,—,—,61,1,1
Virginia,—,1,109,—,25
West Virginia,—,—,11,—,—
East South Central,—,—,152,—,8
Alabama,—,—,37,—,4
Kentucky,—,—,31,—,1
Mississippi,—,—,23,—,—
Tennessee,—,—,61,—,3
West South Central,—,3,392,1,85
Arkansas,—,—,13,—,4
Louisiana,—,—,38,—,8
Oklahoma,—,—,29,—,—
Texas,—,3,312,1,73
Mountain,—,—,179,—,18
Arizona,—,—,54,—,2
Colorado,—,—,55,—,—
Idaho,—,—,5,—,—
Montana,—,—,9,—,—
Nevada,—,—,22,—,6
New Mexico,—,—,10,—,—
Utah,—,—,21,—,10
Wyoming,—,—,3,—,—
Pacific,—,2,548,2,71
Alaska,—,—,—,—,—
California,—,2,421,1,61
Hawaii,—,—,11,—,2
Oregon,—,—,47,1,3
Washington,—,—,69,—,5
Territories,—,—,"1,117",—,107
American Samoa,—,—,131,—,93
Commonwealth of Northern Mariana Islands,—,—,—,—,—
Guam,—,—,—,—,—
Puerto Rico,—,U,U,U,U
U.S. Virgin Islands,—,—,986,—,14
,,,,,
—: No reported cases,,,,,
N: Not Reportable,,,,,
U: Unavailable,,,,,
,,,,,
* Data reported to ArboNET using the national surveillance case definition for congenital Zika virus disease or infection (CSTE Position Statement 16-ID-01).  Additional data reported to the US Zika Pregnancy Registry for outcomes of pregnancies with laboratory evidence of possible Zika virus infection are available at https://www.cdc.gov/zika/reporting/pregnancy-outcomes.html.  Cases reported to the US Zika Pregnancy Registry might not meet the national surveillance case definition for congenital Zika virus disease or infection.,,,,,
,,,,,
,,,,,
Notes:,,,,,
,,,,,
,These are annual cases of selected infectious ,,,,
,national notifiable diseases from the ,,,,
,National Notifiable Diseases Surveillance System (NNDSS).  ,,,,
,"NNDSS data reported by the 50 states, New York City, the District of Columbia, ",,,,
,and the U.S. territories are collated and published. ,,,,
,Cases are reported by state health departments to CDC weekly.  ,,,,
,Annual data may differ from previously reported  weekly and quarterly data ,,,,
,due to revision of information and delayed reporting. ,,,,
,,,,,
,The list of national notifiable infectious diseases and conditions for 2016 and their national ,,,,
,surveillance case definitions are available at ,,,,
